label,model,engineering_only,tasks,task_success_rate,attempted_policy_violation_rate,model_attempted_policy_violation_rate,automatic_gate_violation_attempt_rate,actual_policy_violation_rate,invalid_tool_call_rate,skill_reuse_attempts,wrong_reuse_attempt_rate,skill_applicability_precision,skill_reuse_task_rate,unknown_applicability_attempt_rate,unknown_applicability_attempts,wrong_reuse_associated_failure_rate,causal_negative_transfer_rate,average_tool_calls,average_decision_calls,average_llm_calls,average_tokens,average_latency_ms,average_gate_tool_calls,decision_evaluated,decision_accuracy,validation_token_loss
Base,Qwen3-4B-NF4-Base,False,78,0.44871794871794873,0.23076923076923078,0.20512820512820512,0.038461538461538464,0.0,0.04819277108433735,0,,,0.0,,0,,,5.32051282051282,3.576923076923077,3.576923076923077,10323.78205128205,19403.595565383745,2.4743589743589745,48,0.08333333333333333,0.6649776841737884
SFT,Qwen3-4B-NF4-SFT,False,78,0.7307692307692307,0.05128205128205128,0.01282051282051282,0.038461538461538464,0.0,0.008438818565400843,12,0.0,1.0,0.15384615384615385,0.0,0,0.0,,6.076923076923077,3.628205128205128,3.628205128205128,11290.807692307691,26009.621191024704,2.4615384615384617,48,0.9166666666666666,0.026353176828884876
DPO,Qwen3-4B-NF4-DPO,False,78,0.7051282051282052,0.05128205128205128,0.01282051282051282,0.038461538461538464,0.0,0.008988764044943821,12,0.0,1.0,0.15384615384615385,0.0,0,0.0,,5.705128205128205,3.269230769230769,3.269230769230769,9859.846153846154,23323.19790128177,2.4615384615384617,48,0.9166666666666666,0.026598878459449228
DPO-no-gate,Qwen3-4B-NF4-DPO,False,78,0.7564102564102564,0.14102564102564102,0.14102564102564102,0.0,0.0,0.03254437869822485,25,0.04,0.32,0.32051282051282054,0.64,16,0.0,,4.333333333333333,3.8846153846153846,3.8846153846153846,13146.807692307691,26523.834794871127,0,48,0.9166666666666666,0.026598878459449228
