label,tasks,task_success_rate,attempted_policy_violation_rate,actual_policy_violation_rate,invalid_tool_call_rate,skill_reuse_attempts,wrong_reuse_attempt_rate,unknown_applicability_attempts,wrong_reuse_associated_failure_rate,causal_negative_transfer_rate,average_tool_calls,average_decision_calls,average_llm_calls,average_tokens,average_latency_ms,average_gate_tool_calls,pass_all_repeats,repeat_count
B0,234,1.0,0.038461538461538464,0.0,0.008928571428571428,0,,0,,,4.3076923076923075,4.769230769230769,0,0,8.520321370775086,0,1.0,3
B1,234,1.0,0.038461538461538464,0.0,0.008928571428571428,0,,0,,,4.3076923076923075,4.769230769230769,0,0,11.67092350227997,0,1.0,3
B2,234,1.0,0.038461538461538464,0.0,0.008333333333333333,36,0.0,0,0.0,,4.615384615384615,4.615384615384615,0,0,10.380344012648695,0,1.0,3
B3,234,1.0,0.038461538461538464,0.0,0.007633587786259542,36,0.0,0,0.0,,5.038461538461538,3.0384615384615383,0,0,7.179380774111925,2,1.0,3
B3-no-gate,234,1.0,0.038461538461538464,0.0,0.00819672131147541,36,0.0,18,0.0,,4.6923076923076925,4.615384615384615,0,0,9.449994441770558,0,1.0,3
