label,tasks,task_success_rate,attempted_policy_violation_rate,actual_policy_violation_rate,invalid_tool_call_rate,skill_reuse_attempts,wrong_reuse_attempt_rate,unknown_applicability_attempts,wrong_reuse_associated_failure_rate,causal_negative_transfer_rate,average_tool_calls,average_decision_calls,average_llm_calls,average_tokens,average_latency_ms,average_gate_tool_calls,pass_all_repeats,repeat_count
B0,234,1.0,0.038461538461538464,0.0,0.009433962264150943,0,,0,,,4.076923076923077,4.538461538461538,0,0,7.957125213641462,0,1.0,3
B1,234,1.0,0.038461538461538464,0.0,0.009433962264150943,0,,0,,,4.076923076923077,4.538461538461538,0,0,10.94611752136515,0,1.0,3
B2,234,1.0,0.038461538461538464,0.0,0.008333333333333333,63,0.0,0,0.0,,4.615384615384615,4.269230769230769,0,0,8.451826495698526,0,1.0,3
B3,234,1.0,0.038461538461538464,0.0,0.007633587786259542,63,0.0,0,0.0,,5.038461538461538,2.230769230769231,0,0,5.039292734982466,2.4615384615384617,1.0,3
B3-no-gate,234,1.0,0.038461538461538464,0.0,0.00819672131147541,63,0.0,18,0.0,,4.6923076923076925,4.269230769230769,0,0,8.807366666743237,0,1.0,3
