label,tasks,task_success_rate,attempted_policy_violation_rate,actual_policy_violation_rate,invalid_tool_call_rate,skill_reuse_attempts,wrong_reuse_attempt_rate,unknown_applicability_attempts,wrong_reuse_associated_failure_rate,causal_negative_transfer_rate,average_tool_calls,average_decision_calls,average_llm_calls,average_tokens,average_latency_ms,average_gate_tool_calls,pass_all_repeats,repeat_count
B0,234,1.0,0.038461538461538464,0.0,0.008928571428571428,0,,0,,,4.3076923076923075,4.769230769230769,0,0,8.361438461513464,0,1.0,3
B1,234,1.0,0.038461538461538464,0.0,0.008928571428571428,0,,0,,,4.3076923076923075,4.769230769230769,0,0,10.593571367498331,0,1.0,3
B2,234,1.0,0.038461538461538464,0.0,0.007936507936507936,63,0.0,0,0.0,,4.846153846153846,4.5,0,0,8.65772606826235,0,1.0,3
B3,234,1.0,0.038461538461538464,0.0,0.0072992700729927005,63,0.0,0,0.0,,5.269230769230769,2.4615384615384617,0,0,5.267691453148931,2.4615384615384617,1.0,3
B3-no-gate,234,1.0,0.038461538461538464,0.0,0.0078125,63,0.0,18,0.0,,4.923076923076923,4.5,0,0,9.394116666611746,0,1.0,3
