label,tasks,task_success_rate,attempted_policy_violation_rate,actual_policy_violation_rate,invalid_tool_call_rate,skill_reuse_attempts,wrong_reuse_attempt_rate,unknown_applicability_attempts,wrong_reuse_associated_failure_rate,causal_negative_transfer_rate,average_tool_calls,average_decision_calls,average_llm_calls,average_tokens,average_latency_ms,average_gate_tool_calls,pass_all_repeats,repeat_count
B0,78,1.0,0.038461538461538464,0.0,0.008928571428571428,0,,0,,,4.3076923076923075,4.769230769230769,0,0,8.371776923573075,0,1.0,1
B1,78,1.0,0.038461538461538464,0.0,0.008928571428571428,0,,0,,,4.3076923076923075,4.769230769230769,0,0,10.308882052926586,0,1.0,1
B2,78,1.0,0.038461538461538464,0.0,0.008333333333333333,12,0.0,0,0.0,,4.615384615384615,4.615384615384615,0,0,10.00392692348657,0,1.0,1
B3,78,0.9615384615384616,0.038461538461538464,0.0,0.02142857142857143,15,0.0,0,0.0,,5.384615384615385,3.1538461538461537,0,0,7.89493462518574,2.1153846153846154,0.9615384615384616,1
B3-no-gate,78,1.0,0.038461538461538464,0.0,0.00819672131147541,12,0.0,6,0.0,,4.6923076923076925,4.615384615384615,0,0,10.08326794134262,0,1.0,1
