label,tasks,task_success_rate,attempted_policy_violation_rate,actual_policy_violation_rate,invalid_tool_call_rate,skill_reuse_attempts,wrong_reuse_attempt_rate,unknown_applicability_attempts,wrong_reuse_associated_failure_rate,causal_negative_transfer_rate,average_tool_calls,average_decision_calls,average_llm_calls,average_tokens,average_latency_ms,average_gate_tool_calls,pass_all_repeats,repeat_count
B0,78,0.44871794871794873,0.20512820512820512,0.0,0.04911591355599214,0,,0,,,6.5256410256410255,7.358974358974359,7.358974358974359,20458.846153846152,5054.729739743962,0,0.44871794871794873,1
B1,78,0.5769230769230769,0.28205128205128205,0.0,0.09033613445378151,0,,0,,,6.102564102564102,6.871794871794871,6.871794871794871,24680.03846153846,5979.169283333482,0,0.5769230769230769,1
B2,78,0.48717948717948717,0.14102564102564102,0.0,0.03618421052631579,0,,0,,,7.794871794871795,8.602564102564102,8.602564102564102,28492.02564102564,6776.010257692411,0,0.48717948717948717,1
B3,78,0.47435897435897434,0.14102564102564102,0.0,0.04851752021563342,0,,0,,,9.512820512820513,7.884615384615385,7.884615384615385,25935.589743589742,6039.285806409913,2.58974358974359,0.47435897435897434,1
B3-no-gate,78,0.48717948717948717,0.20512820512820512,0.0,0.05804311774461028,0,,0,,,7.730769230769231,8.512820512820513,8.512820512820513,30683.115384615383,6950.554166666944,0,0.48717948717948717,1
